Location_Name,Located_City,Location,Location_Type,Avg_Rating,AI_Context
Amiru Restaurant,Polgasovita,"NO.37/13, PUBUDU MAWATHA, MATTEGODA, POLGASOVITA",Restaurants,,"Amiru Restaurant is a Restaurants located in Polgasovita. Address: NO.37/13, PUBUDU MAWATHA, MATTEGODA, POLGASOVITA."
Arrirang Resturant,Colombo,"NO.16,ABDUL GAFFOOR MAWATHA,COLOMBO",Restaurants,,"Arrirang Resturant is a Restaurants located in Colombo. Address: NO.16,ABDUL GAFFOOR MAWATHA,COLOMBO."
Birds Garden Restaurant,Matale,"NO. 50, KAUDUPELELLA, MATALE",Restaurants,,"Birds Garden Restaurant is a Restaurants located in Matale. Address: NO. 50, KAUDUPELELLA, MATALE."
Aston Resturant & Bar,Dam Street Colombo 12,"69/1B,DAM STREET COLOMBO 12",Restaurants,,"Aston Resturant & Bar is a Restaurants located in Dam Street Colombo 12. Address: 69/1B,DAM STREET COLOMBO 12."
Cafe De Artist,Colombo 07,"NO. 31, HORTON PLACE, COLOMBO 07",Restaurants,,"Cafe De Artist is a Restaurants located in Colombo 07. Address: NO. 31, HORTON PLACE, COLOMBO 07."
Cafe Japan Restaurant,Colombo 03,"NO. 07, 10TH LANE, COLOMBO 03",Restaurants,,"Cafe Japan Restaurant is a Restaurants located in Colombo 03. Address: NO. 07, 10TH LANE, COLOMBO 03."
Pubs And Places - Aluthgama,Aluthgama,"NO. 09, DOUGLAS GUNAWARDENA MAWATHA, ALUTHGAMA",Restaurants,,"Pubs And Places - Aluthgama is a Restaurants located in Aluthgama. Address: NO. 09, DOUGLAS GUNAWARDENA MAWATHA, ALUTHGAMA."
Cricket Club Cafe,Mawatha.Colombo 07.,"NO.12,ERNEST DE SILVE,MAWATHA.COLOMBO 07.",Restaurants,,"Cricket Club Cafe is a Restaurants located in Mawatha.Colombo 07.. Address: NO.12,ERNEST DE SILVE,MAWATHA.COLOMBO 07.."
Cey-Nor Orienat Sea Food Restaurant,Colombo 10,"NO. 335/A, D.R. WIJEWARDENA MAWATHA, COLOMBO 10",Restaurants,,"Cey-Nor Orienat Sea Food Restaurant is a Restaurants located in Colombo 10. Address: NO. 335/A, D.R. WIJEWARDENA MAWATHA, COLOMBO 10."
Cubbys Restaurant,Kelaniya,"CUBBYS RESTAURANT,85,WARAGODA ROAD,KELANIYA",Restaurants,,"Cubbys Restaurant is a Restaurants located in Kelaniya. Address: CUBBYS RESTAURANT,85,WARAGODA ROAD,KELANIYA."
Pubs And Places (Moratuwa),Lady De Soysa Driveuyana Moratuwa,"NO. 16, LADY DE SOYSA DRIVEUYANA MORATUWA",Restaurants,,"Pubs And Places (Moratuwa) is a Restaurants located in Lady De Soysa Driveuyana Moratuwa. Address: NO. 16, LADY DE SOYSA DRIVEUYANA MORATUWA."
Visro Restaurant And Bar,Urapola,"362,HANWELLA ROAD,URAPOLA",Restaurants,,"Visro Restaurant And Bar is a Restaurants located in Urapola. Address: 362,HANWELLA ROAD,URAPOLA."
Deshani Eastern & Chinese Restaurant,Pannipitiya,"NO. 376, OLD ROAD, KOTTAWA, PANNIPITIYA",Restaurants,,"Deshani Eastern & Chinese Restaurant is a Restaurants located in Pannipitiya. Address: NO. 376, OLD ROAD, KOTTAWA, PANNIPITIYA."
Sugar Bistro & Wine Bar,Colombo 03.,"NO. 77, GALLE ROAD, COLOMBO 03.",Restaurants,,"Sugar Bistro & Wine Bar is a Restaurants located in Colombo 03.. Address: NO. 77, GALLE ROAD, COLOMBO 03.."
Dansco Restaurant,Moratuwa,"NO. 20/5, GALLE ROAD, GOLUMADAMA JUNCTION, MORATUWA",Restaurants,,"Dansco Restaurant is a Restaurants located in Moratuwa. Address: NO. 20/5, GALLE ROAD, GOLUMADAMA JUNCTION, MORATUWA."
Curry Leaves Restaurant,Colombo 06,"NO.68.W.A.SILVA MW,COLOMBO 06",Restaurants,,"Curry Leaves Restaurant is a Restaurants located in Colombo 06. Address: NO.68.W.A.SILVA MW,COLOMBO 06."
Diamond Rest,Ratnapura,"NO. 315, COLOMBO ROAD, WERALUPA, RATNAPURA",Restaurants,,"Diamond Rest is a Restaurants located in Ratnapura. Address: NO. 315, COLOMBO ROAD, WERALUPA, RATNAPURA."
Diana Chinese Food Centre,Akuressa,"NO. 23B1/1, 23B2/1 DENIYAYA ROAD, AKURESSA",Restaurants,,"Diana Chinese Food Centre is a Restaurants located in Akuressa. Address: NO. 23B1/1, 23B2/1 DENIYAYA ROAD, AKURESSA."
Dimasha Restaurant,Hikkaduwa,"NO. 9-C, BANDDEGAMA ROAD, HIKKADUWA",Restaurants,,"Dimasha Restaurant is a Restaurants located in Hikkaduwa. Address: NO. 9-C, BANDDEGAMA ROAD, HIKKADUWA."
Peach Valley Double Happy Chinese Restaurant,Colombo 07.,"NO. 27 FLOWER ROAD,COLOMBO 07.",Restaurants,,"Peach Valley Double Happy Chinese Restaurant is a Restaurants located in Colombo 07.. Address: NO. 27 FLOWER ROAD,COLOMBO 07.."
Grand Holiday Resort,Kolinjadiya,"VENDERLAND MAWTHA,KOLINJADIYA",Restaurants,,"Grand Holiday Resort is a Restaurants located in Kolinjadiya. Address: VENDERLAND MAWTHA,KOLINJADIYA."
Dislin Italian Restaurant,Moratuwa,"NO. 571, GALLE ROAD, RAWATHAWATTA, MORATUWA",Restaurants,,"Dislin Italian Restaurant is a Restaurants located in Moratuwa. Address: NO. 571, GALLE ROAD, RAWATHAWATTA, MORATUWA."
Green Bamboo Resturant,Kaluthara North,"NO19/4,DE ABREW ROAD,KALUTHARA NORTH",Restaurants,,"Green Bamboo Resturant is a Restaurants located in Kaluthara North. Address: NO19/4,DE ABREW ROAD,KALUTHARA NORTH."
Dinesh Restaurant,Kurunegala,"HANHAMUNA, MASPOTHA, KURUNEGALA",Restaurants,,"Dinesh Restaurant is a Restaurants located in Kurunegala. Address: HANHAMUNA, MASPOTHA, KURUNEGALA."
Green Chariot Restaurant,Gampola,"NO 60,NAWALAPITIYA ROAD,GAMPOLA",Restaurants,,"Green Chariot Restaurant is a Restaurants located in Gampola. Address: NO 60,NAWALAPITIYA ROAD,GAMPOLA."
Suehiro Lanka Restaurant,Kurunegala,"AKKARAWATTA, NABETA, MELSIRIPURA, KURUNEGALA",Restaurants,,"Suehiro Lanka Restaurant is a Restaurants located in Kurunegala. Address: AKKARAWATTA, NABETA, MELSIRIPURA, KURUNEGALA."
E.T.S. Foods,Colombo 04,"NO. 21, DE VOS AVENUE, COLOMBO 04",Restaurants,,"E.T.S. Foods is a Restaurants located in Colombo 04. Address: NO. 21, DE VOS AVENUE, COLOMBO 04."
Eat Me Chinesee Restaurant,Kandy,"162,PERADENIYA ROAD,KANDY",Restaurants,,"Eat Me Chinesee Restaurant is a Restaurants located in Kandy. Address: 162,PERADENIYA ROAD,KANDY."
Green Garden Chainsse Restaurant,Pannipitiya,"NO.1491 N,WEERAGALA BUILDING,KOTTAWA ROAD,PANNIPITIYA",Restaurants,,"Green Garden Chainsse Restaurant is a Restaurants located in Pannipitiya. Address: NO.1491 N,WEERAGALA BUILDING,KOTTAWA ROAD,PANNIPITIYA."
Green View Chainese Restaurant,Wellawaya,"ELLA JUNCTION,HAPUTHALE ROAD,WELLAWAYA",Restaurants,,"Green View Chainese Restaurant is a Restaurants located in Wellawaya. Address: ELLA JUNCTION,HAPUTHALE ROAD,WELLAWAYA."
Goodies Kitchen,Mount Lavinia,"151/C,TEMPLERS RAOD,MOUNT LAVINIA",Restaurants,,"Goodies Kitchen is a Restaurants located in Mount Lavinia. Address: 151/C,TEMPLERS RAOD,MOUNT LAVINIA."
Farm House Restaurant,Hikkaduwa,"NO.341,GALLE ROAD,HIKKADUWA",Restaurants,,"Farm House Restaurant is a Restaurants located in Hikkaduwa. Address: NO.341,GALLE ROAD,HIKKADUWA."
Flora Region Restaurant,Wellawaya,"NO.1/71,MONARAGALA ROAD,WELLAWAYA",Restaurants,,"Flora Region Restaurant is a Restaurants located in Wellawaya. Address: NO.1/71,MONARAGALA ROAD,WELLAWAYA."
Gihans Chinesee Restaurant,Nugegoda,"656 A,HIGH LEVAL RAOD,GANGODAVILA,NUGEGODA",Restaurants,,"Gihans Chinesee Restaurant is a Restaurants located in Nugegoda. Address: 656 A,HIGH LEVAL RAOD,GANGODAVILA,NUGEGODA."
Flower Drum Restaurant,Battaramulla,"418,PANNIPITIYA ROAD,PELAWATTE,BATTARAMULLA",Restaurants,,"Flower Drum Restaurant is a Restaurants located in Battaramulla. Address: 418,PANNIPITIYA ROAD,PELAWATTE,BATTARAMULLA."
Flower City Chinese Guest House And Restaurant,T.G Jawardhana Mw Colombo 03,"NO.26,T.G JAWARDHANA MW COLOMBO 03",Restaurants,,"Flower City Chinese Guest House And Restaurant is a Restaurants located in T.G Jawardhana Mw Colombo 03. Address: NO.26,T.G JAWARDHANA MW COLOMBO 03."
Flower Drum,Colombo03,"NO.26,THURSTON ROAD,COLOMBO03",Restaurants,,"Flower Drum is a Restaurants located in Colombo03. Address: NO.26,THURSTON ROAD,COLOMBO03."
Mangala Reception Hall & Chinese Restaurant,Kiribathgoda,"NO. 329, ""MUNASINGHE MAHAL"", MAKOLA ROAD, KIRIBATHGODA",Restaurants,,"Mangala Reception Hall & Chinese Restaurant is a Restaurants located in Kiribathgoda. Address: NO. 329, ""MUNASINGHE MAHAL"", MAKOLA ROAD, KIRIBATHGODA."
