geographic_diversity,activity_variety,temporal_logic,restaurant_coverage,narrative_coherence,duration_compliance,xai_coverage,weather_optimization,crowd_awareness,transport_coverage,core_avg,ai_avg,overall,mode,prefs
85.7,80.0,100.0,100.0,85.7,100.0,85.7,100.0,71.4,100.0,91.9,89.3,90.8,enhanced,"{""duration"": 7, ""startLocation"": ""Galle"", ""groupSize"": ""Friends"", ""tripType"": ""Cultural""}"
90.0,83.3,100.0,100.0,90.0,100.0,80.0,100.0,80.0,100.0,93.9,90.0,92.3,enhanced,"{""duration"": 10, ""startLocation"": ""Colombo (CMB Airport)"", ""groupSize"": ""Couple"", ""tripType"": ""Beach""}"
66.7,70.0,100.0,100.0,66.7,100.0,66.7,0.0,66.7,100.0,83.9,58.4,73.3,enhanced,"{""duration"": 3, ""startLocation"": ""Galle"", ""groupSize"": ""Solo"", ""tripType"": ""Nature""}"
80.0,77.8,100.0,80.0,80.0,100.0,80.0,60.0,80.0,100.0,86.3,80.0,83.7,enhanced,"{""duration"": 5, ""startLocation"": ""Kandy"", ""groupSize"": ""Family"", ""tripType"": ""Adventure""}"
85.7,82.4,100.0,100.0,85.7,100.0,85.7,100.0,85.7,100.0,92.3,92.9,92.5,enhanced,"{""duration"": 7, ""startLocation"": ""Negombo"", ""groupSize"": ""Couple"", ""tripType"": ""Foodie""}"
90.0,86.4,100.0,100.0,90.0,100.0,90.0,100.0,90.0,100.0,94.4,95.0,94.7,enhanced,"{""duration"": 10, ""startLocation"": ""Galle"", ""groupSize"": ""Solo"", ""tripType"": ""Cultural""}"
83.3,78.6,100.0,100.0,83.3,100.0,83.3,100.0,83.3,100.0,90.9,91.7,91.2,enhanced,"{""duration"": 3, ""startLocation"": ""Colombo (CMB Airport)"", ""groupSize"": ""Friends"", ""tripType"": ""Beach""}"
80.0,75.0,100.0,100.0,80.0,80.0,80.0,60.0,60.0,100.0,85.8,75.0,81.5,enhanced,"{""duration"": 5, ""startLocation"": ""Negombo"", ""groupSize"": ""Couple"", ""tripType"": ""Nature""}"
85.7,83.3,100.0,100.0,85.7,100.0,85.7,100.0,85.7,100.0,92.5,92.9,92.7,enhanced,"{""duration"": 7, ""startLocation"": ""Kandy"", ""groupSize"": ""Family"", ""tripType"": ""Adventure""}"
100.0,90.0,100.0,100.0,100.0,100.0,90.0,100.0,90.0,100.0,98.3,95.0,97.0,enhanced,"{""duration"": 10, ""startLocation"": ""Negombo"", ""groupSize"": ""Solo"", ""tripType"": ""Cultural""}"
57.1,61.5,100.0,100.0,71.4,100.0,0.0,0.0,0.0,100.0,81.7,25.0,55.0,baseline,"{""duration"": 7, ""startLocation"": ""Colombo (CMB Airport)"", ""groupSize"": ""Couple"", ""tripType"": ""Beach""}"
60.0,58.3,100.0,80.0,60.0,100.0,0.0,0.0,0.0,100.0,76.4,25.0,52.8,baseline,"{""duration"": 5, ""startLocation"": ""Kandy"", ""groupSize"": ""Solo"", ""tripType"": ""Cultural""}"
70.0,65.0,100.0,100.0,80.0,100.0,0.0,0.0,0.0,100.0,85.8,25.0,59.5,baseline,"{""duration"": 10, ""startLocation"": ""Galle"", ""groupSize"": ""Family"", ""tripType"": ""Nature""}"
66.7,63.6,100.0,66.7,66.7,100.0,0.0,0.0,0.0,100.0,77.3,25.0,53.4,baseline,"{""duration"": 3, ""startLocation"": ""Negombo"", ""groupSize"": ""Friends"", ""tripType"": ""Adventure""}"
57.1,60.0,100.0,100.0,71.4,100.0,0.0,0.0,0.0,100.0,81.4,25.0,54.9,baseline,"{""duration"": 7, ""startLocation"": ""Colombo (CMB Airport)"", ""groupSize"": ""Family"", ""tripType"": ""Cultural""}"
60.0,57.1,100.0,80.0,60.0,100.0,0.0,0.0,0.0,100.0,76.2,25.0,52.7,baseline,"{""duration"": 5, ""startLocation"": ""Galle"", ""groupSize"": ""Couple"", ""tripType"": ""Foodie""}"
80.0,72.7,100.0,100.0,90.0,100.0,0.0,0.0,0.0,100.0,90.5,25.0,60.4,baseline,"{""duration"": 10, ""startLocation"": ""Kandy"", ""groupSize"": ""Solo"", ""tripType"": ""Adventure""}"
71.4,68.2,100.0,100.0,85.7,100.0,0.0,0.0,0.0,100.0,87.6,25.0,59.5,baseline,"{""duration"": 7, ""startLocation"": ""Colombo (CMB Airport)"", ""groupSize"": ""Couple"", ""tripType"": ""Nature""}"
66.7,60.0,100.0,66.7,66.7,60.0,0.0,0.0,0.0,100.0,70.0,25.0,49.0,baseline,"{""duration"": 3, ""startLocation"": ""Kandy"", ""groupSize"": ""Family"", ""tripType"": ""Beach""}"
80.0,73.3,100.0,100.0,80.0,100.0,0.0,0.0,0.0,100.0,88.9,25.0,60.3,baseline,"{""duration"": 5, ""startLocation"": ""Negombo"", ""groupSize"": ""Solo"", ""tripType"": ""Foodie""}"
